split,human_positive_row_idx,candidate_positive_row_idx,label,human_origin_id,candidate_origin_id,human_code_sha256,candidate_code_sha256,human_component_id,candidate_component_id,llm_source,pair_sha256
train,460,460,1,41_c151.c,41_c151.c,f18ed8f272794958927c8ef3af6d740f3076c1b89504444c1f2232eb7aebf555,c4992c442565ae49f26d128add8ff613ad45179c0c5a89488b1116b70cca5f83,170cde28019098f0273bb0362fb157c5b8997f5626ec6bc53480a1d67b741345,170cde28019098f0273bb0362fb157c5b8997f5626ec6bc53480a1d67b741345,gpt3.5,59edb9f95be937aaa813debf1e49c7537966b3f8aa9560581efa811d734b7033
train,460,1800,0,41_c151.c,9_c5305.c,f18ed8f272794958927c8ef3af6d740f3076c1b89504444c1f2232eb7aebf555,9547de43e6a208fa766171c1489902c8cf9548b3542a91ea3ba0d2381073352d,170cde28019098f0273bb0362fb157c5b8997f5626ec6bc53480a1d67b741345,4b4b9716a9e10bf4993ecfbce01a29bc0b50fa816785bc5422fb30b46e9855f8,gpt3.5,8f4c24404e93c0cc2c42403fde841dfad74bc77921e09da7a7a8d2b41d8a7792
train,1800,1800,1,9_c5305.c,9_c5305.c,20d374b3eb37bf69d4f4c5df5f01935ede239e22e5e4ce90cee95bab5eba7816,9547de43e6a208fa766171c1489902c8cf9548b3542a91ea3ba0d2381073352d,4b4b9716a9e10bf4993ecfbce01a29bc0b50fa816785bc5422fb30b46e9855f8,4b4b9716a9e10bf4993ecfbce01a29bc0b50fa816785bc5422fb30b46e9855f8,gpt3.5,4c1adbd63886803fc129922a1060db5b21e858f1015287134d1869546f6fd4dc
train,1800,1744,0,9_c5305.c,77_c257.c,20d374b3eb37bf69d4f4c5df5f01935ede239e22e5e4ce90cee95bab5eba7816,933e9af645b51093dd0aadaaf7ee3a1224efee27a5f2908072e527efc3cd7701,4b4b9716a9e10bf4993ecfbce01a29bc0b50fa816785bc5422fb30b46e9855f8,46f7735a2f0b52791b77cf67bf6375c9833c808c6defe70f60d23ec98a5c3c14,gpt3.5,6eb23bd05e20af1791d51c7eb05c826b78a137282eee07b0b03e0e640442f2f4
train,1744,1744,1,77_c257.c,77_c257.c,5bfd4ab0d8a28fc9a8411e39763f2623f62e9f52e4df00bda5edde16fc53b4de,933e9af645b51093dd0aadaaf7ee3a1224efee27a5f2908072e527efc3cd7701,46f7735a2f0b52791b77cf67bf6375c9833c808c6defe70f60d23ec98a5c3c14,46f7735a2f0b52791b77cf67bf6375c9833c808c6defe70f60d23ec98a5c3c14,gpt3.5,36c5e4600ef5592bf95520866578d428cdd6795628c825ef46620d0084c7228d
train,1744,968,0,77_c257.c,213_c6191.c,5bfd4ab0d8a28fc9a8411e39763f2623f62e9f52e4df00bda5edde16fc53b4de,3fef788f6be0ec2dcad7a3dc3a38679df460bf5e4b7adc108f4537d0c6159583,46f7735a2f0b52791b77cf67bf6375c9833c808c6defe70f60d23ec98a5c3c14,07e986c90f1b5e7c4baf182907d35d42bc9d75075b56f7a18a3570adc71f1ecb,gpt3.5,b3635246845a83f59f224f1c20920e0e4653a7f19503853507ce53f39b280646
train,968,968,1,213_c6191.c,213_c6191.c,bed656d4f4098ca92a6ebbc2ecde47bfc28d8f6584f12e89e91b72bd67977be8,3fef788f6be0ec2dcad7a3dc3a38679df460bf5e4b7adc108f4537d0c6159583,07e986c90f1b5e7c4baf182907d35d42bc9d75075b56f7a18a3570adc71f1ecb,07e986c90f1b5e7c4baf182907d35d42bc9d75075b56f7a18a3570adc71f1ecb,gpt3.5,19890c5c15d369e9437a91247e53488f43807947986f0a697a096c3c31dd4042
train,968,648,0,213_c6191.c,125_c464.c,bed656d4f4098ca92a6ebbc2ecde47bfc28d8f6584f12e89e91b72bd67977be8,177fda2b6edf5af00d017fe856162a212b0f1beb370162b8f097e1f695b09094,07e986c90f1b5e7c4baf182907d35d42bc9d75075b56f7a18a3570adc71f1ecb,d9a7eb89f99d81e90b5441581b0f0b6349d07ac8b328c00701831420a02c7d5e,gpt3.5,4a35ebe3da3f971bcde02c0ef6cb6423eb7fbc3f13f3301d9ef8af060af6c375
train,648,648,1,125_c464.c,125_c464.c,826642363094f6efde36438a8c1aba3ab28c3328d59e7a93e1c0ff0f22614370,177fda2b6edf5af00d017fe856162a212b0f1beb370162b8f097e1f695b09094,d9a7eb89f99d81e90b5441581b0f0b6349d07ac8b328c00701831420a02c7d5e,d9a7eb89f99d81e90b5441581b0f0b6349d07ac8b328c00701831420a02c7d5e,gpt3.5,25dc9f725cbddfcb9060bc4f1ea4f7cba32834828392bf80ec18e25810861999
train,648,328,0,125_c464.c,299_c61.c,826642363094f6efde36438a8c1aba3ab28c3328d59e7a93e1c0ff0f22614370,b0839c26d3c8d303e523cc8cc593b0f3b049aaf6cb6a396beb65b0cee8415d92,d9a7eb89f99d81e90b5441581b0f0b6349d07ac8b328c00701831420a02c7d5e,c7d0bf3f08fc59e7f0402543fbc7a91c8c5668bd97d2315e6e2c2114c130963a,gpt3.5,8b2ac9f7e9e39499b115689f70efd380e84c9cafdfeadc6c4ce9c7061a3df93f
